Type of incident,Year,Date occurred,Region,Province,City_Municipality,Affected_Brgys,Affected_FAM,Affected_PERs,Evacuation (Cummulative),Evacuation (Now),"INSIDE_ECs_FAM
(Cummulative)","INSIDE_ECs_FAM
(Now)","INSIDE_ECs_PERs
(Cummulative)","INSIDE_ECs_PERs
(Now)","OUTSIDE_ECs_FAM
(Cummulative)","OUTSIDE_ECs_FAM
(Now)","OUTSIDE_ECs_PERs
(Cummulative)","OUTSIDE_ECs_PERs
(Now)",Destroyed houses,Partially damaged houses,Total,Region Code,Province Code,City_Municipality Code
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Candelaria,22,480,"1,921",29,0,408,0,"1,619",0,72,0,302,0,0,16,16,PH040000000,PH045600000,PH045608000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Catanauan,42,"3,565","18,795",75,0,"3,148",0,"16,680",0,417,0,"2,115",0,80,1412,1492,PH040000000,PH045600000,PH045610000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Dolores,16,992,"3,618",25,0,431,0,"1,490",0,561,0,"2,128",0,15,129,144,PH040000000,PH045600000,PH045615000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,General Luna,27,"3,681","12,960",55,0,"1,225",0,"4,085",0,"2,456",0,"8,875",0,38,517,555,PH040000000,PH045600000,PH045616000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,General Nakar,10,301,"1,069",12,0,243,0,841,0,58,0,228,0,0,0,0,PH040000000,PH045600000,PH045617000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Guinayangan,11,465,"1,955",13,0,448,0,"1,870",0,17,0,85,0,0,0,0,PH040000000,PH045600000,PH045618000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Gumaca,53,"6,228","21,246",51,0,"4,231",0,"14,893",0,"1,997",0,"6,353",0,37,626,663,PH040000000,PH045600000,PH045619000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Infanta,30,"1,008","3,888",61,0,886,0,"3,431",0,122,0,457,0,0,0,0,PH040000000,PH045600000,PH045620000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Jomalig,4,364,"1,334",11,0,230,0,808,0,134,0,526,0,0,0,0,PH040000000,PH045600000,PH045621000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Lopez,86,"7,537","27,452",153,0,"3,412",0,"12,854",0,"4,125",0,"14,598",0,110,1458,1568,PH040000000,PH045600000,PH045622000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Lucban,10,74,309,13,0,70,0,294,0,4,0,15,0,0,6,6,PH040000000,PH045600000,PH045623000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Lucena City (capital),33,"4,831","20,284",43,0,"4,715",0,"19,903",0,116,0,381,0,1,17,18,PH040000000,PH045600000,PH045624000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Macalelon,29,"2,876","9,843",67,0,"2,507",0,"8,595",0,369,0,"1,248",0,17,751,768,PH040000000,PH045600000,PH045625000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Mauban,29,"1,359","5,285",21,0,"1,119",0,"4,419",0,240,0,866,0,7,179,186,PH040000000,PH045600000,PH045627000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Mulanay,29,"8,117","31,183",93,0,"2,074",0,"8,213",0,"6,043",0,"22,970",0,251,3595,3846,PH040000000,PH045600000,PH045628000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Padre Burgos,22,"2,523","7,330",53,0,"1,569",0,"4,413",0,954,0,"2,917",0,22,239,261,PH040000000,PH045600000,PH045629000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Pagbilao,26,"1,695","6,101",52,0,"1,225",0,"4,557",0,470,0,"1,544",0,4,73,77,PH040000000,PH045600000,PH045630000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Panukulan,12,"1,962","6,842",41,0,"1,273",0,"4,678",0,689,0,"2,164",0,0,0,0,PH040000000,PH045600000,PH045631000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Patnanungan,6,374,"1,377",8,0,317,0,"1,176",0,57,0,201,0,0,0,0,PH040000000,PH045600000,PH045632000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Perez,14,"1,428","4,725",50,0,"1,283",0,"4,152",0,145,0,573,0,0,0,0,PH040000000,PH045600000,PH045633000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Pitogo,39,"3,535","11,744",55,0,"1,227",0,"4,161",0,"2,308",0,"7,583",0,27,562,589,PH040000000,PH045600000,PH045634000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Plaridel,9,715,"2,396",10,0,287,0,940,0,428,0,"1,456",0,0,87,87,PH040000000,PH045600000,PH045635000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Polillo,16,"1,164","4,281",42,0,460,0,"1,839",0,704,0,"2,442",0,3,7,10,PH040000000,PH045600000,PH045636000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Quezon,23,"1,466","4,602",40,0,"1,260",0,"3,870",0,206,0,732,0,10,54,64,PH040000000,PH045600000,PH045637000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Real,16,760,"3,349",23,0,447,0,"1,805",0,313,0,"1,544",0,83,296,379,PH040000000,PH045600000,PH045638000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Sampaloc,8,95,311,6,0,92,0,301,0,3,0,10,0,0,0,0,PH040000000,PH045600000,PH045639000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,San Andres,7,"4,017","18,009",16,0,849,0,"3,835",0,"3,168",0,"14,174",0,140,2327,2467,PH040000000,PH045600000,PH045640000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,San Antonio,20,"1,488","4,304",24,0,"1,487",0,"4,299",0,1,0,5,0,2,87,89,PH040000000,PH045600000,PH045641000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,San Francisco (Aurora),13,"3,935","14,079",31,0,"2,677",0,"9,151",0,"1,258",0,"4,928",0,333,2464,2797,PH040000000,PH045600000,PH045642000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,San Narciso,24,"4,961","17,794",24,0,"4,643",0,"16,174",0,318,0,"1,620",0,0,0,0,PH040000000,PH045600000,PH045644000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Sariaya,37,"2,341","7,602",54,0,"2,096",0,"6,704",0,245,0,898,0,10,88,98,PH040000000,PH045600000,PH045645000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Tagkawayan,45,"4,466","15,994",45,0,"2,655",0,"9,393",0,"1,811",0,"6,601",0,421,1763,2184,PH040000000,PH045600000,PH045646000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,City of Tayabas,51,992,"3,862",49,0,919,0,"3,583",0,73,0,279,0,9,287,296,PH040000000,PH045600000,PH045647000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Tiaong,28,"1,137","4,510",40,0,593,0,"2,357",0,532,0,"2,105",0,12,251,263,PH040000000,PH045600000,PH045648000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Quezon,Unisan,24,"3,545","10,277",51,0,"2,172",0,"6,029",0,"1,373",0,"4,248",0,1,56,57,PH040000000,PH045600000,PH045649000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Angono,5,198,904,6,0,198,0,904,0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045801000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,City of Antipolo,3,431,"1,395",10,0,431,0,"1,395",0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045802000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Baras,5,54,217,5,0,50,0,199,0,4,0,18,0,0,0,0,PH040000000,PH045800000,PH045803000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Binangonan,15,304,"1,391",20,0,295,0,"1,358",0,9,0,33,0,0,0,0,PH040000000,PH045800000,PH045804000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Cainta,4,310,"1,566",9,0,310,0,"1,566",0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045805000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Cardona,14,278,"1,158",27,0,267,0,"1,114",0,11,0,44,0,0,0,0,PH040000000,PH045800000,PH045806000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Jala-Jala,9,235,930,13,0,162,0,649,0,73,0,281,0,0,0,0,PH040000000,PH045800000,PH045807000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Morong,7,37,229,8,0,37,0,229,0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045809000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Pililla,8,244,992,18,0,242,0,985,0,2,0,7,0,0,0,0,PH040000000,PH045800000,PH045810000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Rodriguez (Montalban),4,29,126,4,0,29,0,126,0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045808000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,San Mateo,4,174,870,4,0,174,0,870,0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045811000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Tanay,10,267,"1,271",14,0,267,0,"1,271",0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045812000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Taytay,4,258,"1,106",4,0,109,0,421,0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045813000
STY GONI (Rolly),2020,29-Oct-20,REGION IV-A (CALABARZON),Rizal,Teresa,3,73,362,5,0,73,0,362,0,0,0,0,0,0,0,0,PH040000000,PH045800000,PH045814000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Marinduque,Boac (capital),42,"3,542","12,174",0,0,0,0,0,0,0,0,0,0,9,291,300,PH170000000,PH174000000,PH174001000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Marinduque,Buenavista,12,"1,851","5,963",0,0,0,0,0,0,0,0,0,0,9,53,62,PH170000000,PH174000000,PH174002000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Marinduque,Gasan,17,"1,360","4,907",0,0,0,0,0,0,0,0,0,0,12,160,172,PH170000000,PH174000000,PH174003000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Marinduque,Mogpog,25,899,"3,099",0,0,0,0,0,0,0,0,0,0,59,151,210,PH170000000,PH174000000,PH174004000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Marinduque,Santa Cruz,20,682,"2,706",0,0,0,0,0,0,0,0,0,0,1,7,8,PH170000000,PH174000000,PH174005000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Marinduque,Torrijos,21,"1,008","3,494",0,0,0,0,0,0,0,0,0,0,3,47,50,PH170000000,PH174000000,PH174006000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Abra de Ilog,6,350,"1,394",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175101000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Calintaan,6,437,"1,777",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175102000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Looc,6,290,809,0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175103000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Lubang,15,795,"2,454",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175104000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Magsaysay,13,"2,017","7,726",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175105000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Mamburao (capital),2,277,"1,202",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175106000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Paluan,7,379,"1,381",12,0,262,0,955,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175107000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Rizal,7,348,"1,291",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175108000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,Sablayan,19,"2,435","10,187",55,0,"2,435",0,"10,187",0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175109000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro,San Jose,18,"1,249","5,505",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175110000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Occidental Mindoro, Santa Cruz,2,192,596,0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175100000,PH175111000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Baco,5,125,613,5,0,125,0,613,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175201000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Bansud,11,494,"1,978",11,0,421,0,"1,666",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175202000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Bongabong,15,432,"1,761",18,0,432,0,"1,761",0,0,0,0,0,0,2,2,PH170000000,PH175200000,PH175203000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Bulalacao (San Pedro),1,31,116,2,0,24,0,88,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175204000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,City of Calapan (capital),21,679,"2,686",27,0,582,0,"2,240",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175205000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Gloria,15,"1,246","5,365",15,0,"1,112",0,"4,889",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175206000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Mansalay,16,"1,307","5,703",42,0,"1,307",0,"5,703",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175207000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Naujan,42,"3,006","10,995",45,0,"2,698",0,"9,843",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175208000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Pinamalayan,11,319,"1,116",26,0,319,0,"1,116",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175209000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Pola,8,313,"1,104",18,0,274,0,987,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175210000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Puerto Galera,6,440,"1,676",15,0,229,0,868,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175211000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Roxas,16,298,"1,077",19,0,290,0,"1,049",0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175212000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,San Teodoro,1,123,516,1,0,5,0,16,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175213000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Socorro,6,76,288,0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175214000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Oriental Mindoro,Victoria,7,142,551,8,0,137,0,533,0,0,0,0,0,0,0,0,PH170000000,PH175200000,PH175215000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Palawan,Busuanga,13,445,"1,728",0,0,0,0,0,0,0,0,0,0,0,0,0,PH170000000,PH175300000,PH175307000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Alcantara,5,36,157,6,0,28,0,122,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175901000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Banton,14,718,"2,150",10,0,229,0,792,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175902000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Cajidiocan,7,213,836,1,0,68,0,172,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175903000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Calatrava,5,180,710,5,0,155,0,614,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175904000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Concepcion,4,183,674,4,0,49,0,190,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175905000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Corcuera,5,146,657,2,0,29,0,99,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175906000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Ferrol,6,170,603,8,0,170,0,603,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175916000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Looc,11,189,719,1,0,18,0,70,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175907000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Magdiwang,5,146,556,7,0,146,0,556,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175908000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Odiongan,12,139,429,16,0,111,0,342,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175909000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Romblon (capital),22,361,"1,297",50,0,265,0,964,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175910000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,San Agustin,15,621,"2,308",31,0,423,0,"1,415",0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175911000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,San Andres,7,237,949,11,0,155,0,604,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175912000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Santa Fe,5,117,455,5,0,117,0,455,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175915000
STY GONI (Rolly),2020,29-Oct-20,MIMAROPA REGION,Romblon,Santa Maria (Imelda),6,224,768,6,0,202,0,688,0,0,0,0,0,0,0,0,PH170000000,PH175900000,PH175917000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Bacacay,53,"11,774","56,191",11,0,350,0,"1,239",0,"1,089",0,"4,103",0,2022,9294,11316,PH050000000,PH050500000,PH050501000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Camalig,50,"20,775","82,410",31,0,"1,599",0,"5,653",0,"3,659",0,"11,531",0,259,2178,2437,PH050000000,PH050500000,PH050502000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Daraga (Locsin),52,"5,520","20,941",85,1,"5,175",54,"19,408",190,345,0,"1,533",0,351,2901,3252,PH050000000,PH050500000,PH050503000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Guinobatan,37,"7,944","27,372",38,1,"3,918",44,"13,481",156,175,0,618,0,885,3780,4665,PH050000000,PH050500000,PH050504000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Jovellar,15,"1,368","4,338",16,0,"1,162",0,"3,698",0,206,0,640,0,73,872,945,PH050000000,PH050500000,PH050505000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Legazpi City (capital),60,"20,173","77,148",46,0,"2,128",0,"8,149",0,19,0,83,0,375,5619,5994,PH050000000,PH050500000,PH050506000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Libon,41,"9,527","46,259",29,0,580,0,"2,252",0,0,0,0,0,1191,8022,9213,PH050000000,PH050500000,PH050507000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,City of Ligao,55,"7,492","37,460",66,0,"2,637",0,"9,736",0,111,0,338,0,1237,6255,7492,PH050000000,PH050500000,PH050508000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Malilipot,18,"6,843","28,122",27,6,752,88,"2,917",341,"2,628",0,"9,983",0,1843,4907,6750,PH050000000,PH050500000,PH050509000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Malinao,29,"10,570","38,530",21,0,414,0,"1,561",0,0,0,0,0,3359,7203,10562,PH050000000,PH050500000,PH050510000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Manito,14,"1,801","7,832",19,0,392,0,"1,473",0,0,0,0,0,167,1524,1691,PH050000000,PH050500000,PH050511000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Oas,54,"9,116","42,866",41,0,647,0,"2,271",0,0,0,0,0,799,7298,8097,PH050000000,PH050500000,PH050512000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Pio Duran,31,"3,069","11,269",78,0,"1,323",0,"4,958",0,"1,700",0,"6,243",0,360,1628,1988,PH050000000,PH050500000,PH050513000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Polangui,43,"10,924","54,616",72,0,"1,414",0,"5,101",0,26,0,178,0,2297,8614,10911,PH050000000,PH050500000,PH050514000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Rapu-Rapu,32,"3,720","16,341",4,0,68,0,358,0,0,0,0,0,279,2435,2714,PH050000000,PH050500000,PH050515000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Santo Domingo (Libog),24,"4,211","13,734",53,0,740,0,"2,659",0,0,0,0,0,330,2830,3160,PH050000000,PH050500000,PH050516000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,City of Tabaco,47,"38,967","146,134",22,0,"2,251",0,"8,231",0,0,0,0,0,5890,17964,23854,PH050000000,PH050500000,PH050517000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Albay,Tiwi,25,"12,015","59,345",36,0,"1,112",0,"4,252",0,0,0,0,0,2291,9669,11960,PH050000000,PH050500000,PH050518000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Basud,17,"1,548","7,813",26,0,409,0,"1,721",0,0,0,0,0,256,1184,1440,PH050000000,PH051600000,PH051601000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Capalonga,18,696,"3,063",33,0,650,0,"2,895",0,46,0,168,0,4,124,128,PH050000000,PH051600000,PH051602000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Daet (capital),18,"1,081","5,306",33,0,301,0,"1,408",0,27,0,116,0,83,871,954,PH050000000,PH051600000,PH051603000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Jose Panganiban,25,"2,926","11,999",17,0,274,0,"1,065",0,55,0,203,0,42,112,154,PH050000000,PH051600000,PH051605000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Labo,46,"2,271","8,862",106,0,"1,394",0,"5,558",0,877,0,"3,304",0,47,462,509,PH050000000,PH051600000,PH051606000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Mercedes,8,"1,353","6,580",4,0,330,0,"1,393",0,1,0,4,0,93,1176,1269,PH050000000,PH051600000,PH051607000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Paracale,23,"1,496","5,588",28,0,593,0,"2,737",0,13,0,53,0,115,151,266,PH050000000,PH051600000,PH051608000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,San Lorenzo Ruiz (Imelda),12,331,"1,129",19,0,317,0,"1,079",0,14,0,50,0,6,55,61,PH050000000,PH051600000,PH051604000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,San Vicente,8,409,"1,715",10,0,218,0,633,0,4,0,13,0,22,289,311,PH050000000,PH051600000,PH051609000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Santa Elena,14,408,"1,610",33,0,376,0,"1,481",0,32,0,131,0,0,0,0,PH050000000,PH051600000,PH051610000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Talisay,16,738,"3,766",38,0,360,0,"2,013",0,24,0,119,0,124,532,656,PH050000000,PH051600000,PH051611000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Norte,Vinzons,20,"2,357","9,796",21,0,"2,303",0,"9,552",0,54,0,243,0,42,427,469,PH050000000,PH051600000,PH051612000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Sur,Baao,27,"5,606","28,029",18,0,192,0,800,0,0,0,0,0,612,4493,5105,PH050000000,PH051700000,PH051701000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Sur,Balatan,17,"3,846","19,233",23,0,576,0,"2,693",0,0,0,0,0,435,3181,3616,PH050000000,PH051700000,PH051702000
STY GONI (Rolly),2020,29-Oct-20,REGION V (BICOL REGION),Camarines Sur,Bato,33,"7,760","26,515",72,18,"1,738",517,"7,069","1,947","3,713",928,"15,506","4,248",908,5002,5910,PH050000000,PH051700000,PH051703000
